Authors,Title,Publication,Year,Publisher
"Ahmad A Bany Abdelnabi, Bulent Soykan, Danish Bhatti, and Ghaith Rabadi",Usefulness of Large Language Models (LLMs) for Student Feedback on H&amp;P During Clerkship: Artificial Intelligence for Personalized Learning,,2025,ACM
Huiyuan Lai and Malvina Nissim,A Survey on Automatic Generation of Figurative Language: From Rule-based Systems to Large Language Models,,2024,ACM
"Giancarlo Crocetti, Seonwoo Bak, Daena D. Vautor-Laplaceliere, and Naqib A. Noory",Evaluating the Pedagogical Impact of Large Language Models on Programming Skills in Data Science Programs in Higher Education,,2024,ACM
"Yuka Kaniwa, Masaki Kuribayashi, Seita Kayukawa, Daisuke Sato, Hironobu Takagi, Chieko Asakawa, and Shigeo Morishima",ChitChatGuide: Conversational Interaction Using Large Language Models for Assisting People with Visual Impairments to Explore a Shopping Mall,,2024,ACM
"Riku Arakawa, Jill Fain Lehman, and Mayank Goel",PrISM-Q&amp;A: Step-Aware Voice Assistant on a Smartwatch Enabled by Multimodal Procedure Tracking and Large Language Models,,2024,ACM
"Jinlong Xue, Yayue Deng, Yingming Gao, and Ya Li","Auffusion: Leveraging the Power of Diffusion and Large Language Models for Text-to-Audio Generation. IEEE/ACM Trans. Audio, Speech and Lang",,2024,ACM
"Qian Wan, Siying Hu, Yu Zhang, Piaohong Wang, Bo Wen, and Zhicong Lu",It Felt Like Having a Second Mind: Investigating Human-AI Co-creativity in Prewriting with Large Language Models,,2024,ACM
"Spencer Presley, Cole Barbes, and Junyi Tu",Enhancing Academic Insight: Leveraging Web of Science Data with Large Language Models for Comprehensive Faculty and Article Analysis at Salisbury University*,,2024,ACM
Alexey Karev and Dong Xu,ConSCompF: Consistency-focused Similarity Comparison Framework for Generative Large Language Models,,2025,ACM
"Kaijie Zhu, Qinlin Zhao, Hao Chen, Jindong Wang, and Xing Xie",PromptBench: a unified library for evaluation of large language models,,2024,ACM
"Moschoula Pternea, Prerna Singh, Abir Chakraborty, Yagna Oruganti, Mirco Milletari, Sayli Bapat, and Kebei Jiang",The RL/LLM Taxonomy Tree: Reviewing Synergies Between Reinforcement Learning and Large Language Models,,2024,ACM
"Evan King, Haoxiang Yu, Sangsu Lee, and Christine Julien",Sasha: Creative Goal-Oriented Reasoning in Smart Homes with Large Language Models,,2024,ACM
"Xuhai Xu, Bingsheng Yao, Yuanzhe Dong, Saadia Gabriel, Hong Yu, James Hendler, Marzyeh Ghassemi, Anind K. Dey, and Dakuo Wang",Mental-LLM: Leveraging Large Language Models for Mental Health Prediction via Online Text Data,,2024,ACM
"Zachary Englhardt, Chengqian Ma, Margaret E. Morris, Chun-Cheng Chang, Xuhai ""Orson"" Xu, Lianhui Qin, Daniel McDuff, Xin Liu, Shwetak Patel, and Vikram Iyer",From Classification to Clinical Insights: Towards Analyzing and Reasoning About Mobile and Behavioral Health Data With Large Language Models,,2024,ACM
"Ayachitula, Sriya (59314044600)",Poster: Exploring Explainability Techniques for Large Language Model Classification Predictions,,2024,Scopus
"Wu, Shi (59697693300); Zhou, Jianlong (35304393400); Dong, Yifei (57938222100); Chen, Fang (55714370100)",Enhancing Explainability of Deep Learning-Based ECG Diagnosis Using Large Language Models,,2025,Scopus
"Hu, Yuanyuan (57215928954); Giacaman, Nasser (24528603500); Donald, Claire (52163422600)",Enhancing Trust in Generative AI: Investigating Explainability of LLMs to Analyse Confusion in MOOC Discussions,,2024,Scopus
"Vítor N. Lourenço, Mohnish Dubey, Yunfei Bai, Audrey Depeige, Vivek Jain",An Explainable Natural Language Framework for Identifying and Notifying Target Audiences In Enterprise Communication,,2025,
"Ioannis Papagiannopoulos

Orcid
, 

Hercules Koutalidis

Orcid
, 

Panagiota Rempi

Orcid
, 

Christos Ntanos

Orcid
, 

Dimitrios Askounis",Comparison of explainability methods for hallucination analysis in LLMs,,2025,
Leonardo Ranaldi,Survey on the Role of Mechanistic Interpretability in Generative AI,,2025,
"Muhammad Sharshar, Ahmad Mohammad Saber, Davor Svetinovic, Amr M. Youssef, Deepa Kundur, Ehab F. El-Saadany",Large Language Model-Based Framework for Explainable Cyberattack Detection in Automatic Generation Control Systems,,2025,
"Munib Mesinovic, Peter Watkinson & Tingting Zhu ",Explainability in the age of large language models for healthcare,,2025,
"Ahan Ganguly, Ankan Dey, Sourik Bhuiya, Indranil Roy Banik, Subhabrata Sengupta & Rupayan Das",Augmenting Course Recommendations with Explainable AI: A Hybrid Approach Utilizing Large Language Models,,,
"Lin Sheng
, 
Fangyuan Chang
, 
Qinghua Sun
, 
Danba Wangzha
, 
Zhenyu Gu",Uncertainty reports as explainable AI: A cognitive-adaptive framework for human-AI decision systems in context tasks,,2025,Scopus
"Sukanth Korkanti
Sydney, Australia","Developing Explainable AI Models for Personalized Treatment Recommendations Using LLMs and EHR Data
",,2025,IEEE
"Shova Kuikel, Aritran Piplai, Palvi Aggarwal","Evaluating Large Language Models for Phishing Detection, Self-Consistency, Faithfulness, and Explainability",,2025,
"Eva Paraschou, Ioannis Arapakis, Sofia Yfantidou, Sebastian Macaluso, Athena Vakali",Mind the XAI Gap: A Human-Centered LLM Framework for Democratizing Explainable AI,,2025,The 3rd World Conference on eXplainable Artificial Intelligence.
"Dipak P Upadhyaya 1, Katrina Prantzalos 1, Pedram Golnari 1, Aasef G Shaikh 2, Subhashini Sivagnanam 3, Amitava Majumdar 3, Fatema F Ghasia 4, Satya S Sahoo 1","Explainable Artificial Intelligence (XAI) in the Era of Large Language Models: Applying an XAI Framework in Pediatric Ophthalmology Diagnosis using the Gemini Model
",,2025,PubMed
" George Papageorgiou 1ORCID,Vangelis Sarlis 1ORCID,Manolis Maragoudakis 2,*ORCID andChristos Tjortjis 1ORCID
1
","Hybrid Multi-Agent GraphRAG for E-Government: Towards a Trustworthy AI Assistant
",,2025,MDPI
"Yukun Zhang, Qi Dong",Multi-Scale Manifold Alignment: A Unified Framework for Enhanced Explainability of Large Language Models,,2025,
"Zeinab Dehghani, Mohammed Naveed Akram, Koorosh Aslansefat, Adil Khan, Yiannis Papadopoulos","Explaining Large Language Models with gSMILE
",,2025,
Sohan Gyawali; Yili Jiang; Jiaqi Huang,"In-Progress: Augmenting Explainable AI with LLMs to Enhance User Trust in Intelligent Transportation Systems
",,2025,IEEE
"POPPI, SAMUELE","Responsible AI in Vision and Language: Ensuring Safety, Ethics, and Transparency in Modern Models
",,2025,
Blessing Ogbuokiri,Trustworthy and Responsible LLM,,2025,
"Ghiasnezhad Omran, Pouya
Dixit, Tanya
Nikzad, Mohammad (Nick)
Taylor, Kerry",Explainability in LLMs and the Role of Knowledge Representation and Reasoning: A Survey,,2025,
"David Herrera-Poyatos, Carlos Peláez-González, Cristina Zuheros, Virilo Tejedor, Rosana Montes, Francisco Herrera","Triadic Fusion of Cognitive, Functional, and Causal Dimensions for Explainable LLMs: The TAXAL Framework
",,2025,
"N. Jean, G. Le Pera",Bridging Human Cognition and AI: A Framework for Explainable Decision-Making Systems,,2025,
